query_idx,query,gt_doc_id,outlier_doc_id,gt_score,outlier_score,score_delta,dist_to_gt,gt_text,outlier_text
1,Do mitochondria play a role in remodelling lace plant leaves during programmed cell death?,21645374,22828052,1.0,1.0,0.0,0.13472259044647217,"Programmed cell death (PCD) is the regulated death of cells within an organism. The lace plant (Aponogeton madagascariensis) produces perforations in its leaves through PCD. The leaves of the plant consist of a latticework of longitudinal and transverse veins enclosing areoles. PCD occurs in the cells at the center of these areoles and progresses outwards, stopping approximately five cells from the vasculature. The role of mitochondria during PCD has been recognized in animals; however, it has been less studied during PCD in plants. The following paper elucidates the role of mitochondrial dynamics during developmentally regulated PCD in vivo in A. madagascariensis. A single areole within a window stage leaf (PCD is occurring) was divided into three areas based on the progression of PCD; cells that will not undergo PCD (NPCD), cells in early stages of PCD (EPCD), and cells in late stages of PCD (LPCD). Window stage leaves were stained with the mitochondrial dye MitoTracker Red CMXRos and examined. Mitochondrial dynamics were delineated into four categories (M1-M4) based on characteristics including distribution, motility, and membrane potential (ΔΨm). A TUNEL assay showed fragmented nDNA in a gradient over these mitochondrial stages. Chloroplasts and transvacuolar strands were also examined using live cell imaging. The possible importance of mitochondrial permeability transition pore (PTP) formation during PCD was indirectly examined via in vivo cyclosporine A (CsA) treatment. This treatment resulted in lace plant leaves with a significantly lower number of perforations compared to controls, and that displayed mitochondrial dynamics similar to that of non-PCD cells. Results depicted mitochondrial dynamics in vivo as PCD progresses within the lace plant, and highlight the correlation of this organelle with other organelles during developmental PCD. To the best of our knowledge, this is the first report of mitochondria and chloroplasts moving on transvacuolar strands to form a ring structure surrounding the nucleus during developmental PCD. Also, for the first time, we have shown the feasibility for the use of CsA in a whole plant system. Overall, our findings implicate the mitochondria as playing a critical and early role in developmentally regulated PCD in the lace plant.","Developmentally regulated programmed cell death (PCD) is the controlled death of cells that occurs throughout the life cycle of both plants and animals. The lace plant (Aponogeton madagascariensis) forms perforations between longitudinal and transverse veins in spaces known as areoles, via developmental PCD; cell death begins in the center of these areoles and develops towards the margin, creating a gradient of PCD. This gradient was examined using both long- and short-term live cell imaging, in addition to histochemical staining, in order to establish the order of cellular events that occur during PCD. The first visible change observed was the reduction in anthocyanin pigmentation, followed by initial chloroplast changes and the bundling of actin microfilaments. At this stage, an increased number of transvacuolar strands (TVS) was evident. Perhaps concurrently with this, increased numbers of vesicles, small mitochondrial aggregates, and perinuclear accumulation of both chloroplasts and mitochondria were observed. The invagination of the tonoplast membrane and the presence of vesicles, both containing organelle materials, suggested evidence for both micro- and macro-autophagy, respectively. Mitochondrial aggregates, as well as individual chloroplasts were subsequently seen undergoing Brownian motion in the vacuole. Following these changes, fragmentation of nuclear DNA, breakdown of actin microfilaments and early cell wall changes were detected. The vacuole then swelled, causing nuclear displacement towards the plasma membrane (PM) and tonoplast rupture followed closely, indicating mega-autophagy. Subsequent to tonoplast rupture, cessation of Brownian motion occurred, as well as the loss of mitochondrial membrane potential (ΔΨm), nuclear shrinkage and PM collapse. Timing from tonoplast rupture to PM collapse was approximately 20 minutes. The entire process from initial chlorophyll reduction to PM collapse took approximately 48 hours. Approximately six hours following PM collapse, cell wall disappearance began and was nearly complete within 24 hours. Results showed that a consistent sequence of events occurred during the remodelling of lace plant leaves, which provides an excellent system to study developmental PCD in vivo. These findings can be used to compare and contrast with other developmental PCD examples in plants."
5,Can tailored interventions increase mammography use among HMO women?,10808977,10407709,1.0,1.0,0.0,0.1261976957321167,"Telephone counseling and tailored print communications have emerged as promising methods for promoting mammography screening. However, there has been little research testing, within the same randomized field trial, of the efficacy of these two methods compared to a high-quality usual care system for enhancing screening. This study addressed the question: Compared to usual care, is tailored telephone counseling more effective than tailored print materials for promoting mammography screening? Three-year randomized field trial. One thousand ninety-nine women aged 50 and older recruited from a health maintenance organization in North Carolina. Women were randomized to 1 of 3 groups: (1) usual care, (2) tailored print communications, and (3) tailored telephone counseling. Adherence to mammography screening based on self-reports obtained during 1995, 1996, and 1997. Compared to usual care alone, telephone counseling promoted a significantly higher proportion of women having mammograms on schedule (71% vs 61%) than did tailored print (67% vs 61%) but only after the first year of intervention (during 1996). Furthermore, compared to usual care, telephone counseling was more effective than tailored print materials at promoting being on schedule with screening during 1996 and 1997 among women who were off-schedule during the previous year. The effects of the intervention were most pronounced after the first intervention. Compared to usual care, telephone counseling seemed particularly effective at promoting change among nonadherent women, the group for whom the intervention was developed. These results suggest that telephone counseling, rather than tailored print, might be the preferred first-line intervention for getting nonadherent women on schedule for mammography screening. Many questions would have to be answered about why the tailored print intervention was not more powerful. Nevertheless, it is clear that additional interventions will be needed to maintain women's adherence to mammography. Medical Subject Headings (MeSH): mammography screening, telephone counseling, tailored print communications, barriers.","Mammography is an important screening tool for the early detection of breast cancer. However, mammogram screening rates are low, despite interventions to improve them. We investigated two methods to improve mammogram screening and compared mammogram rates among women who received these interventions to mammogram screening rates in a control group. We also investigated the costs involved in these interventions. We studied mammogram screening rates of three randomized groups of women ages 50 and older from the Deighton Family Practice Center in Southfield, Mich. All women had had a mammogram 1 year previously and were due for another mammogram. Our control group (n = 110) received no intervention. The second group of women (n = 102) received a reminder letter from the radiology department. The third group (n = 86) received a reminder letter followed by a phone call from the physician's office staff if no mammogram had been obtained within 8 weeks after the due date for the mammogram. All three groups were monitored for 14 weeks after the due date to determine mammogram screening rates in each group. A mammogram was obtained by 33% of women in group 1, 37% of women in group 2, and 57% of women in group 3. The mammogram screening rate of the third group was significantly greater than in the first two groups. In the third group, the additional cost added by the phone call intervention was $9 per mammogram obtained. Mammogram screening rates are increased when patients are contacted by both a reminder letter and a phone call."
5,Can tailored interventions increase mammography use among HMO women?,10808977,8279610,1.0,1.0,0.0,0.1044464111328125,"Telephone counseling and tailored print communications have emerged as promising methods for promoting mammography screening. However, there has been little research testing, within the same randomized field trial, of the efficacy of these two methods compared to a high-quality usual care system for enhancing screening. This study addressed the question: Compared to usual care, is tailored telephone counseling more effective than tailored print materials for promoting mammography screening? Three-year randomized field trial. One thousand ninety-nine women aged 50 and older recruited from a health maintenance organization in North Carolina. Women were randomized to 1 of 3 groups: (1) usual care, (2) tailored print communications, and (3) tailored telephone counseling. Adherence to mammography screening based on self-reports obtained during 1995, 1996, and 1997. Compared to usual care alone, telephone counseling promoted a significantly higher proportion of women having mammograms on schedule (71% vs 61%) than did tailored print (67% vs 61%) but only after the first year of intervention (during 1996). Furthermore, compared to usual care, telephone counseling was more effective than tailored print materials at promoting being on schedule with screening during 1996 and 1997 among women who were off-schedule during the previous year. The effects of the intervention were most pronounced after the first intervention. Compared to usual care, telephone counseling seemed particularly effective at promoting change among nonadherent women, the group for whom the intervention was developed. These results suggest that telephone counseling, rather than tailored print, might be the preferred first-line intervention for getting nonadherent women on schedule for mammography screening. Many questions would have to be answered about why the tailored print intervention was not more powerful. Nevertheless, it is clear that additional interventions will be needed to maintain women's adherence to mammography. Medical Subject Headings (MeSH): mammography screening, telephone counseling, tailored print communications, barriers.","Message tailoring, based on individual needs and circumstances, is commonly used to enhance face-to-face patient counseling. Only recently has individual tailoring become feasible for printed messages. This study sought to determine whether printed tailored recommendations addressing women's specific screening and risk status and perceptions about breast cancer and mammography are more effective than standardized printed recommendations. Computer-assisted telephone interviews were conducted with 435 women, aged 40 to 65 years, who had visited family practice groups within the previous 2 years. Subjects were randomly allocated to receive individually tailored or standardized mammography recommendation letters mailed from physicians to patients' homes. Follow-up interviews were conducted 8 months later. Tailored letter recipients were more likely to remember and to have read more of their letters than standardized version recipients. After controlling for baseline status, tailored letter receipt was associated with more favorable follow-up mammography status for women with incomes below $26,000 and for Black women. Tailored messages are a more effective medium for physicians' mammography recommendations; tailoring may be especially important for women of low socioeconomic status."
12,Therapeutic anticoagulation in the trauma patient: is it safe?,18847643,20065871,1.0,1.0,0.0,0.2537388801574707,"Trauma patients who require therapeutic anticoagulation pose a difficult treatment problem. The purpose of this study was to determine: (1) the incidence of complications using therapeutic anticoagulation in trauma patients, and (2) if any patient factors are associated with these complications. An 18-month retrospective review was performed on trauma patients >or= 15 years old who received therapeutic anticoagulation using unfractionated heparin (UH) and/or fractionated heparin (FH). Forty different pre-treatment and treatment patient characteristics were recorded. Complications of anticoagulation were documented and defined as any unanticipated discontinuation of the anticoagulant for bleeding or other adverse events. One-hundred-fourteen trauma patients were initiated on therapeutic anticoagulation. The most common indication for anticoagulation was deep venous thrombosis (46%). Twenty-four patients (21%) had at least 1 anticoagulation complication. The most common complication was a sudden drop in hemoglobin concentration requiring blood transfusion (11 patients). Five patients died (4%), 3 of whom had significant hemorrhage attributed to anticoagulation. Bivariate followed by logistic regression analysis identified chronic obstructive pulmonary disease (OR = 9.2, 95%CI = 1.5-54.7), UH use (OR = 3.8, 95%CI = 1.1-13.0), and lower initial platelet count (OR = 1.004, 95%CI = 1.000-1.008) as being associated with complications. Patients receiving UH vs. FH differed in several characteristics including laboratory values and anticoagulation indications. Trauma patients have a significant complication rate related to anticoagulation therapy, and predicting which patients will develop a complication remains unclear. Prospective studies are needed to determine which treatment regimen, if any, is appropriate to safely anticoagulate this high risk population.",": As the population continues to age, the number of patients undergoing traumatic injury while on antiplatelet or anticoagulation therapies is increasing. Mortality has been shown to increase in traumatic brain injury patients on warfarin therapy. Whether this increased mortality is seen in trauma patients without traumatic brain injury remains controversial. We investigated whether patients on antiplatelet and/or anticoagulation therapy were at increased risk of death from blunt traumatic injury in the absence of head injury. : A retrospective review of our Level I trauma center database was performed from 2002 to 2007. Inclusion criteria included all patients older than 60 years admitted to the trauma service. Only patients with a computed tomography scan negative for intracranial injury were analyzed. : Two hundred twelve patients were found, of which 67 were found to be taking aspirin, warfarin, clopidogrel, or a combination of the three. Injury Severity Score (21 vs. 21), length of stay (11 days vs. 9 days), intensive care unit days (5 days vs. 4 days), and deaths (13% vs. 10%) were similar between those patients on antiplatelet/anticoagulation therapy and those who were not. : In the absence of traumatic brain injury, the use of preinjury antiplatelet and/or anticoagulation therapy does not significantly increase the risk of mortality in the trauma patient. As the number of active seniors rises, this patient population will continue to present to the trauma service. To the best of our knowledge, this study is one of the largest addressing this question, and the only study examining the addition of antiplatelet therapy."
21,Israeli hospital preparedness for terrorism-related multiple casualty incidents: can the surge capacity and injury severity distribution be better predicted?,19394934,20838136,0.8,0.8,0.0,0.18282043933868408,"The incidence of large-scale urban attacks on civilian populations has significantly increased across the globe over the past decade. These incidents often result in Hospital Multiple Casualty Incidents (HMCI), which are very challenging to hospital teams. 15 years ago the Emergency and Disaster Medicine Division in the Israeli Ministry of Health defined a key of 20 percent of each hospital's bed capacity as its readiness for multiple casualties. Half of those casualties are expected to require immediate medical treatment. This study was performed to evaluate the efficacy of the current readiness guidelines based on the epidemiology of encountered HMCIs. A retrospective study of HMCIs was recorded in the Israeli Defense Force (IDF) home front command and the Israeli National Trauma Registry (ITR) between November 2000 and June 2003. An HMCI is defined by the Emergency and Disaster Medicine Division in the Israeli Ministry of Health as >or=10 casualties or >or=4 suffering from injuries with an ISS>or=16 arriving to a single hospital. The study includes a total of 32 attacks, resulting in 62 HMCIs and 1292 casualties. The mean number of arriving casualties to a single hospital was 20.8+/-13.3 (range 4-56, median 16.5). In 95% of the HMCIs the casualty load was <or=52. Based on severity scores and ED discharges 1022 (79.2%) casualties did not necessitate immediate medical treatment. Hospital preparedness can be better defined by a fixed number of casualties rather than a percentile of its bed capacity. Only 20% of the arriving casualties will require immediate medical treatment. Implementation of this concept may improve the utilisation of national emergency health resources both in the preparation phase and on real time.","The sudden influx of patients during mass casualty events (MCEs) may compromise the quality of care provided and possibly impact on the medical outcomes of these patients. To test this assumption, a comparison must be made between injuries sustained in MCE and non-MCE events caused by the same mechanism. The mechanism of injury selected for this study was gunshot wounds, which occur in both types of event. A retrospective study was carried out using the Israel's National Trauma Registry data on patients hospitalized between November 1, 2000, and December 31, 2005, as a result of high-energy gunshot trauma. Descriptive statistics and bivariate analysis were used to characterize injury patterns, and multivariate analysis was used to determine factors influencing inpatient mortality. Of 462 patients with gunshot wounds, 120 cases (26.38%) were defined as MCE and 342 (73.62%) as non-MCE. Both populations had ∼30% of severely injured patients (Injury Severity Score 16+). MCE patients had undergone significantly fewer operational procedures. No differences between MCE and non-MCE were found in intensive care units utilization. The likelihood of death as a result of MCE was 2.75 (CI 1.09-7.02) times higher than non-MCE. Factors influencing this difference are the number of injured regions and injuries to the brain, chest, and abdomen. MCE patients have a significantly higher mortality than non-MCE patients, not manifesting substantial differences in the severity of injuries. The absence of difference in intensive care units utilization may be related to the effectiveness of existing protocols for dealing with MCEs."
21,Israeli hospital preparedness for terrorism-related multiple casualty incidents: can the surge capacity and injury severity distribution be better predicted?,19394934,20647922,0.8,0.8,0.0,0.19106841087341309,"The incidence of large-scale urban attacks on civilian populations has significantly increased across the globe over the past decade. These incidents often result in Hospital Multiple Casualty Incidents (HMCI), which are very challenging to hospital teams. 15 years ago the Emergency and Disaster Medicine Division in the Israeli Ministry of Health defined a key of 20 percent of each hospital's bed capacity as its readiness for multiple casualties. Half of those casualties are expected to require immediate medical treatment. This study was performed to evaluate the efficacy of the current readiness guidelines based on the epidemiology of encountered HMCIs. A retrospective study of HMCIs was recorded in the Israeli Defense Force (IDF) home front command and the Israeli National Trauma Registry (ITR) between November 2000 and June 2003. An HMCI is defined by the Emergency and Disaster Medicine Division in the Israeli Ministry of Health as >or=10 casualties or >or=4 suffering from injuries with an ISS>or=16 arriving to a single hospital. The study includes a total of 32 attacks, resulting in 62 HMCIs and 1292 casualties. The mean number of arriving casualties to a single hospital was 20.8+/-13.3 (range 4-56, median 16.5). In 95% of the HMCIs the casualty load was <or=52. Based on severity scores and ED discharges 1022 (79.2%) casualties did not necessitate immediate medical treatment. Hospital preparedness can be better defined by a fixed number of casualties rather than a percentile of its bed capacity. Only 20% of the arriving casualties will require immediate medical treatment. Implementation of this concept may improve the utilisation of national emergency health resources both in the preparation phase and on real time.","To compare injuries and hospital utilization and outcomes from terror and war for civilians and soldiers. Injuries from terror and war are not necessarily comparable, especially among civilians and soldiers. For example, civilians have less direct exposure to conflict and are unprepared for injury, whereas soldiers are psychologically and physically prepared for combat on battlefields that are often far from trauma centers. Evidence-based studies distinguishing and characterizing differences in injuries according to conflict type and population group are lacking. A retrospective study was performed using hospitalization data from the Israel National Trauma Registry (10/2000-12/2006). Terror and war accounted for trauma hospitalizations among 1784 civilians and 802 soldiers. Most civilians (93%) were injured in terror and transferred to trauma centers by land, whereas soldiers were transferred by land and air. Critical injuries and injuries to multiple body regions were more likely in terror than war. Soldiers tended to present with less severe injuries from war than from terror. Rates of first admission to orthopedic surgery were greater for all casualties with the exception of civilians injured in terror who were equally likely to be admitted to the intensive care unit. In-hospital mortality was higher among terror (7%) than war (2%) casualties, and particularly among civilians. This study provides evidence that substantial differences exist in injury characteristics and hospital resources required to treat civilians and soldiers injured in terror and war. Hospital preparedness and management should focus on treating combat injuries that result from specific causes-terror or war."
21,Israeli hospital preparedness for terrorism-related multiple casualty incidents: can the surge capacity and injury severity distribution be better predicted?,19394934,22490933,0.8,0.8,0.0,0.21001076698303223,"The incidence of large-scale urban attacks on civilian populations has significantly increased across the globe over the past decade. These incidents often result in Hospital Multiple Casualty Incidents (HMCI), which are very challenging to hospital teams. 15 years ago the Emergency and Disaster Medicine Division in the Israeli Ministry of Health defined a key of 20 percent of each hospital's bed capacity as its readiness for multiple casualties. Half of those casualties are expected to require immediate medical treatment. This study was performed to evaluate the efficacy of the current readiness guidelines based on the epidemiology of encountered HMCIs. A retrospective study of HMCIs was recorded in the Israeli Defense Force (IDF) home front command and the Israeli National Trauma Registry (ITR) between November 2000 and June 2003. An HMCI is defined by the Emergency and Disaster Medicine Division in the Israeli Ministry of Health as >or=10 casualties or >or=4 suffering from injuries with an ISS>or=16 arriving to a single hospital. The study includes a total of 32 attacks, resulting in 62 HMCIs and 1292 casualties. The mean number of arriving casualties to a single hospital was 20.8+/-13.3 (range 4-56, median 16.5). In 95% of the HMCIs the casualty load was <or=52. Based on severity scores and ED discharges 1022 (79.2%) casualties did not necessitate immediate medical treatment. Hospital preparedness can be better defined by a fixed number of casualties rather than a percentile of its bed capacity. Only 20% of the arriving casualties will require immediate medical treatment. Implementation of this concept may improve the utilisation of national emergency health resources both in the preparation phase and on real time.","Trauma casualties caused by terror-related events and children injured as a result of trauma may be given preference in hospital emergency departments (EDs) due to their perceived importance. We investigated whether there are differences in the treatment and hospitalization of terror-related casualties compared to other types of injury events and between children and adults injured in terror-related events. Retrospective study of 121 608 trauma patients from the Israel Trauma Registry during the period of October 2000-December 2005. Of the 10 hospitals included in the registry, 6 were level I trauma centers and 4 were regional trauma centers. Patients who were hospitalized or died in the ED or were transferred between hospitals were included in the registry. All analyses were controlled for Injury Severity Score (ISS). All patients with ISS 1-24 terror casualties had the highest frequency of intensive care unit (ICU) admissions when compared with patients after road traffic accidents (RTA) and other trauma. Among patients with terror-related casualties, children were admitted to ICU disproportionally to the severity of their injury. Logistic regression adjusted for injury severity and trauma type showed that both terror casualties and children have a higher probability of being admitted to the ICU. Injured children are admitted to ICU more often than other age groups. Also, terror-related casualties are more frequently admitted to the ICU compared to those from other types of injury events. These differences were not directly related to a higher proportion of severe injuries among the preferred groups."
21,Israeli hospital preparedness for terrorism-related multiple casualty incidents: can the surge capacity and injury severity distribution be better predicted?,19394934,17033567,0.8,0.8,0.0,0.2516302466392517,"The incidence of large-scale urban attacks on civilian populations has significantly increased across the globe over the past decade. These incidents often result in Hospital Multiple Casualty Incidents (HMCI), which are very challenging to hospital teams. 15 years ago the Emergency and Disaster Medicine Division in the Israeli Ministry of Health defined a key of 20 percent of each hospital's bed capacity as its readiness for multiple casualties. Half of those casualties are expected to require immediate medical treatment. This study was performed to evaluate the efficacy of the current readiness guidelines based on the epidemiology of encountered HMCIs. A retrospective study of HMCIs was recorded in the Israeli Defense Force (IDF) home front command and the Israeli National Trauma Registry (ITR) between November 2000 and June 2003. An HMCI is defined by the Emergency and Disaster Medicine Division in the Israeli Ministry of Health as >or=10 casualties or >or=4 suffering from injuries with an ISS>or=16 arriving to a single hospital. The study includes a total of 32 attacks, resulting in 62 HMCIs and 1292 casualties. The mean number of arriving casualties to a single hospital was 20.8+/-13.3 (range 4-56, median 16.5). In 95% of the HMCIs the casualty load was <or=52. Based on severity scores and ED discharges 1022 (79.2%) casualties did not necessitate immediate medical treatment. Hospital preparedness can be better defined by a fixed number of casualties rather than a percentile of its bed capacity. Only 20% of the arriving casualties will require immediate medical treatment. Implementation of this concept may improve the utilisation of national emergency health resources both in the preparation phase and on real time.","Concern has been raised about the capacity of trauma centers to absorb large numbers of additional patients from mass casualty events. Our objective was to examine the capacity of current centers to handle an increased load from a mass casualty disaster. This was a cross-sectional study of Level I and II trauma centers. They were contacted by mail and asked to respond to questions about their surge capacity as of July 4, 2005. Data were obtained from 133 centers. On July 4, 2005 there were a median of 77 beds available in Level I and 84 in Level II trauma centers. Fifteen percent of the Level I and 12.2% of the Level II centers had a census at 95% capacity or greater. In the first 6 hours, each Level I center would be able to operate on 38 patients, while each Level II center would be able to operate on 22 patients. Based on available data, there are 10 trauma centers available to an average American within 60 minutes. Given the available bed capacity, a total of 812 beds would be available within a 60-minute transport distance in a mass casualty event. There is capacity to care for the number of serious non-fatally injured patients resulting from the types of mass casualties recently experienced. If there is a further continued shift of uninsured patients to and fiscally driven closure of trauma centers, the surge capacity could be severely compromised."
21,Israeli hospital preparedness for terrorism-related multiple casualty incidents: can the surge capacity and injury severity distribution be better predicted?,19394934,19307399,0.8,0.8,0.0,0.23408377170562744,"The incidence of large-scale urban attacks on civilian populations has significantly increased across the globe over the past decade. These incidents often result in Hospital Multiple Casualty Incidents (HMCI), which are very challenging to hospital teams. 15 years ago the Emergency and Disaster Medicine Division in the Israeli Ministry of Health defined a key of 20 percent of each hospital's bed capacity as its readiness for multiple casualties. Half of those casualties are expected to require immediate medical treatment. This study was performed to evaluate the efficacy of the current readiness guidelines based on the epidemiology of encountered HMCIs. A retrospective study of HMCIs was recorded in the Israeli Defense Force (IDF) home front command and the Israeli National Trauma Registry (ITR) between November 2000 and June 2003. An HMCI is defined by the Emergency and Disaster Medicine Division in the Israeli Ministry of Health as >or=10 casualties or >or=4 suffering from injuries with an ISS>or=16 arriving to a single hospital. The study includes a total of 32 attacks, resulting in 62 HMCIs and 1292 casualties. The mean number of arriving casualties to a single hospital was 20.8+/-13.3 (range 4-56, median 16.5). In 95% of the HMCIs the casualty load was <or=52. Based on severity scores and ED discharges 1022 (79.2%) casualties did not necessitate immediate medical treatment. Hospital preparedness can be better defined by a fixed number of casualties rather than a percentile of its bed capacity. Only 20% of the arriving casualties will require immediate medical treatment. Implementation of this concept may improve the utilisation of national emergency health resources both in the preparation phase and on real time.","Over 2000 improvised rockets (called ""Kassam"" rockets) have been targeted at the south of Israel from the Gaza strip since 2001. Most of them have injured relatively few people. The first known case of a multicasualty incident (MCI) caused by the landing of a single, improvised rocket is described. The event is described according to the disastrous incidents systematic analysis through components, interactions and results methodology (DISAST-CIR). The rocket hit a military training tent camp in the south of Israel at 01:18 hours. At that time, all soldiers were in bed and were not using any protective gear. A total of 76 soldiers was injured (three severe, eight moderate and 65 mild). The most prevalent types of injuries were upper extremity (33%) and lower extremity (30%) trauma, tinnitus (30%) and acute stress reactions (32%). A total of 67 casualties was evacuated to the nearest level two hospital, Barzilai, in a two-phase distribution characterised by different patterns of injury severity and type. All urgent casualties arrived at hospitals within 1 h 24 minutes, whereas most stress casualties arrived in the later phase. Seven casualties were secondarily transported to level one trauma centres. 42 of the casualties were hospitalised and 17 needed urgent surgery. None has died. A single low-tech mortar with poor accuracy and small warhead (estimated weight of 10 kg only) can cause a large-scale MCI. As international terrorist organisations can easily gain access to improvised rockets, the latter may become a threat in many countries. Emergency systems should thus be prepared for that adverse possibility."
21,Israeli hospital preparedness for terrorism-related multiple casualty incidents: can the surge capacity and injury severity distribution be better predicted?,19394934,15837890,0.8,0.8,0.0,0.26678466796875,"The incidence of large-scale urban attacks on civilian populations has significantly increased across the globe over the past decade. These incidents often result in Hospital Multiple Casualty Incidents (HMCI), which are very challenging to hospital teams. 15 years ago the Emergency and Disaster Medicine Division in the Israeli Ministry of Health defined a key of 20 percent of each hospital's bed capacity as its readiness for multiple casualties. Half of those casualties are expected to require immediate medical treatment. This study was performed to evaluate the efficacy of the current readiness guidelines based on the epidemiology of encountered HMCIs. A retrospective study of HMCIs was recorded in the Israeli Defense Force (IDF) home front command and the Israeli National Trauma Registry (ITR) between November 2000 and June 2003. An HMCI is defined by the Emergency and Disaster Medicine Division in the Israeli Ministry of Health as >or=10 casualties or >or=4 suffering from injuries with an ISS>or=16 arriving to a single hospital. The study includes a total of 32 attacks, resulting in 62 HMCIs and 1292 casualties. The mean number of arriving casualties to a single hospital was 20.8+/-13.3 (range 4-56, median 16.5). In 95% of the HMCIs the casualty load was <or=52. Based on severity scores and ED discharges 1022 (79.2%) casualties did not necessitate immediate medical treatment. Hospital preparedness can be better defined by a fixed number of casualties rather than a percentile of its bed capacity. Only 20% of the arriving casualties will require immediate medical treatment. Implementation of this concept may improve the utilisation of national emergency health resources both in the preparation phase and on real time.","Following a suicide bombing attack, scores of victims suffering from a combination of blast injury, penetrating injury, and burns are brought to local hospitals. To identify external signs of trauma that would assist medical crews in recognizing blast lung injury (BLI) and effectively triaging salvageable and nonsalvageable victims. Retrospective analysis of all 15 suicide bombing attacks that occurred in Israel from April 1994 to August 1997. National survey. One hundred fifty-three victims died and 798 were injured as a result of 15 attacks. Medical records were reviewed for external signs of trauma, such as burns and penetrating injuries, and the presence of BLI. Main Outcome Measure The odds ratio for BLI and death. Three settings were targeted: buses, semiconfined spaces, and open spaces. Sixty survivors (7.5%) suffered from BLI, which was more common in buses (37 of 260) than semiconfined spaces (14 of 279) and open spaces (9 of 259) (P<.001). Victims with BLI were more likely to suffer from penetrating injury to the head or torso, burns covering more than 10% of the body surface area, and skull fractures (odds ratios, 4, 11.6, and 55.8, respectively; P<.001). Victims who died at the scene were more likely to suffer from burns, open fractures, and amputations in comparison with survivors (odds ratios, 6.5, 18.6, and 50.1, respectively; P<.001). Following a suicide bombing attack, external signs of trauma should be used to triage victims to the appropriate level of care both at the scene and in the hospital. Triage of salvageable and nonsalvageable victims should take into account the presence of amputations, burns, and open fractures."
